timestamp,request_rate,php_cpu_cores,php_memory_bytes,replicas,p95_latency_seconds
2026-09-09 09:21:18.305999994+00:00,16.666666666666664,0.3224578483721296,173547520.0,4.0,0.0478954081632653
2026-09-09 09:21:33.305999994+00:00,17.288888888888888,0.3419717720114281,173678592.0,4.0,0.047751256281407
2026-09-09 09:21:48.305999994+00:00,17.911111111111108,0.3073956533901819,173740032.0,4.0,0.048167870036101
2026-09-09 09:22:03.305999994+00:00,18.53333333333333,0.2509323119604517,173285376.0,4.0,0.0461531365313653
2026-09-09 09:22:18.305999994+00:00,19.13333333333333,0.3387641569832686,173596672.0,4.0,0.048598602484472
2026-09-09 09:22:33.305999994+00:00,18.6,0.3120221684168964,173629440.0,4.0,0.0483608949416342
2026-09-09 09:22:48.305999994+00:00,16.288888888888888,0.2983700390729286,173576192.0,4.0,0.04875
2026-09-09 09:23:03.305999994+00:00,12.2,0.1631058740170184,173092864.0,4.0,0.0460165662650602
2026-09-09 09:23:18.305999994+00:00,7.399999999999999,0.0853207429473616,173740032.0,4.0,0.0463737623762376
2026-09-09 09:23:33.305999994+00:00,3.333333333333333,0.0436274396072924,173432832.0,4.0,0.0467261904761904
2026-09-09 09:23:48.305999994+00:00,0.8444444444444443,0.0112591886285604,172867584.0,4.0,0.04775
2026-09-09 09:24:03.305999994+00:00,0.0,0.0065929930314817,173121536.0,4.0,
2026-09-09 09:24:18.305999994+00:00,0.0,0.0064162174444622,173346816.0,4.0,
2026-09-09 09:24:20.936000109+00:00,0.0,0.0068846850505626,173330432.0,4.0,
2026-09-09 09:24:33.305999994+00:00,0.0,0.0070115365211072,132431872.0,4.0,
2026-09-09 09:24:35.936000109+00:00,0.0,0.0070115365211072,132431872.0,4.0,
2026-09-09 09:24:48.305999994+00:00,0.0,0.0064285758268038,85266432.0,4.0,
2026-09-09 09:24:50.936000109+00:00,0.0,0.0060041863001107,85266432.0,4.0,
2026-09-09 09:25:03.305999994+00:00,0.0,0.0042407284100811,85250048.0,2.0,
2026-09-09 09:25:05.936000109+00:00,0.0,0.0041659382439728,85250048.0,2.0,
2026-09-09 09:25:18.305999994+00:00,0.0,0.0032589746714545,43081728.0,2.0,
2026-09-09 09:25:20.936000109+00:00,0.0,0.0029267518414441,43081728.0,2.0,
2026-09-09 09:25:33.305999994+00:00,0.0,0.0027690521572815,43073536.0,1.0,
2026-09-09 09:25:35.936000109+00:00,0.0,0.0026906337892142,43073536.0,1.0,
2026-09-09 09:25:48.305999994+00:00,0.0,0.0023378245592742,43335680.0,1.0,
2026-09-09 09:25:50.936000109+00:00,0.0,0.002262857626173,43335680.0,1.0,
2026-09-09 09:26:03.305999994+00:00,0.0,0.0017152917046489,43339776.0,1.0,
2026-09-09 09:26:05.936000109+00:00,0.0,0.0017152917046489,43339776.0,1.0,
2026-09-09 09:26:18.305999994+00:00,0.0,0.0017544298706227,43335680.0,1.0,
2026-09-09 09:26:20.936000109+00:00,0.0,0.0017544298706227,43335680.0,1.0,
2026-09-09 09:26:33.305999994+00:00,0.0,0.0016843786179088,43335680.0,1.0,
2026-09-09 09:26:35.936000109+00:00,0.0,0.0016843786179088,43335680.0,1.0,
2026-09-09 09:26:48.305999994+00:00,0.0,0.0016179775280899,43335680.0,1.0,
2026-09-09 09:26:50.936000109+00:00,0.0,0.0016179775280899,43335680.0,1.0,
2026-09-09 09:27:03.305999994+00:00,0.0,0.0017181802471272,43335680.0,1.0,
2026-09-09 09:27:05.936000109+00:00,0.0,0.0017181802471272,43335680.0,1.0,
2026-09-09 09:27:18.305999994+00:00,0.0,0.0017539181231008,43331584.0,1.0,
2026-09-09 09:27:20.936000109+00:00,0.0,0.0017539181231008,43331584.0,1.0,
2026-09-09 09:27:33.305999994+00:00,0.0,0.0019255937126263,43327488.0,1.0,
2026-09-09 09:27:35.936000109+00:00,0.0,0.0019255937126263,43327488.0,1.0,
2026-09-09 09:27:48.305999994+00:00,0.0,0.0014328720207247,43327488.0,1.0,
2026-09-09 09:27:50.936000109+00:00,0.0,0.001658640658335,43327488.0,1.0,
2026-09-09 09:28:03.305999994+00:00,0.0,0.0018706692395402,43327488.0,1.0,
2026-09-09 09:28:05.936000109+00:00,0.0,0.0018706692395402,43327488.0,1.0,
2026-09-09 09:28:18.305999994+00:00,0.0,0.0015627628306578,43081728.0,1.0,
2026-09-09 09:28:20.936000109+00:00,0.0,0.0015627628306578,43081728.0,1.0,
2026-09-09 09:28:33.305999994+00:00,0.0,0.0017332437768423,43339776.0,1.0,
2026-09-09 09:28:35.936000109+00:00,0.0,0.0017332437768423,43339776.0,1.0,
2026-09-09 09:28:48.305999994+00:00,0.0,0.0015865474273117,43335680.0,1.0,
2026-09-09 09:28:50.936000109+00:00,0.0,0.0015865474273117,43335680.0,1.0,
2026-09-09 09:29:03.305999994+00:00,0.0,0.0017364446702384,43335680.0,1.0,
2026-09-09 09:29:05.936000109+00:00,0.0,0.0017364446702384,43335680.0,1.0,
2026-09-09 09:29:18.305999994+00:00,0.0,0.0015991439449468,43335680.0,1.0,
2026-09-09 09:29:20.936000109+00:00,0.0,0.0015991439449468,43335680.0,1.0,
2026-09-09 09:29:33.305999994+00:00,0.0,0.0015138343296137,43335680.0,1.0,
2026-09-09 09:29:35.936000109+00:00,0.0,0.0017432231235236,43335680.0,1.0,
2026-09-09 09:29:48.305999994+00:00,0.0,0.0017367442646504,43335680.0,1.0,
2026-09-09 09:29:50.936000109+00:00,0.0,0.0017367442646504,43335680.0,1.0,
2026-09-09 09:30:03.305999994+00:00,0.0,0.001798888264319,43335680.0,1.0,
2026-09-09 09:30:05.936000109+00:00,0.0,0.0018687572823338,43065344.0,1.0,
2026-09-09 09:30:18.305999994+00:00,0.0,0.0018000432982446,43065344.0,1.0,
2026-09-09 09:30:20.936000109+00:00,0.0,0.0018000432982446,43065344.0,1.0,
2026-09-09 09:30:33.305999994+00:00,0.0,0.0019032916898754,43343872.0,1.0,
2026-09-09 09:30:35.936000109+00:00,0.0,0.0019032916898754,43343872.0,1.0,
2026-09-09 09:30:48.305999994+00:00,0.0,0.0018312723637121,43339776.0,1.0,
2026-09-09 09:30:50.936000109+00:00,0.0,0.0018312723637121,43339776.0,1.0,
2026-09-09 09:31:03.305999994+00:00,0.0,0.0017679862750887,43339776.0,1.0,
2026-09-09 09:31:05.936000109+00:00,0.0,0.0017366255144035,43339776.0,1.0,
2026-09-09 09:31:18.305999994+00:00,0.0,0.0016551476742797,43343872.0,1.0,
2026-09-09 09:31:20.936000109+00:00,0.0,0.0016551476742797,43343872.0,1.0,
2026-09-09 09:31:33.305999994+00:00,0.0,0.0017303365700194,43339776.0,1.0,
2026-09-09 09:31:35.936000109+00:00,0.0,0.0017303365700194,43339776.0,1.0,
2026-09-09 09:31:48.305999994+00:00,0.0,0.0017012199421753,43339776.0,1.0,
2026-09-09 09:31:50.936000109+00:00,0.0222222222222222,0.0017012199421753,43339776.0,1.0,0.00975
